,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_id,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments
TR Lubmin 220/400 405,13.685367373727471,54.13880850286776,DE,50HERTZ,460134233.0,Polygon,Umspannwerk Lubmin,DE,380000,50Hertz Transmission,,Associated to substation Lubmin
TR Marzahn 220/400 401,13.524113150563432,52.5357936785092,DE,50HERTZ,22973070.0,Polygon,Umspannwerk Marzahn,DE,380000,50Hertz Transmission,,Associated to substation Marzahn
TR Marzahn 220/400 402,13.524113150563432,52.5357936785092,DE,50HERTZ,22973070.0,Polygon,Umspannwerk Marzahn,DE,380000,50Hertz Transmission,,Associated to substation Marzahn
TR Neuenhagen 220/400 401,13.710163845494778,52.539128262482336,DE,50HERTZ,137197826.0,Polygon,Umspannwerk Neuenhagen,DE,380000,50Hertz Transmission,,Associated to substation Neuenhagen
TR Neuenhagen 220/400 402,13.710163845494778,52.539128262482336,DE,50HERTZ,137197826.0,Polygon,Umspannwerk Neuenhagen,DE,380000,50Hertz Transmission,,Associated to substation Neuenhagen
TR Remptendorf 220/400 401,11.6460436675051,50.53432660015694,DE,50HERTZ,128277645.0,Polygon,Umspannwerk Remptendorf,DE,380000,50Hertz Transmission,,Associated to substation Remptendorf
TR Remptendorf 220/400 402,11.6460436675051,50.53432660015694,DE,50HERTZ,128277645.0,Polygon,Umspannwerk Remptendorf,DE,380000,50Hertz Transmission,,Associated to substation Remptendorf
TR Röhrsdorf 220/400 402,12.815082479900903,50.85868947954853,DE,50HERTZ,23117075.0,Polygon,Umspannwerk Röhrsdorf,DE,380000,50Hertz Transmission,,Associated to substation Röhrsdorf
TR Röhrsdorf 220/400 403,12.815082479900903,50.85868947954853,DE,50HERTZ,23117075.0,Polygon,Umspannwerk Röhrsdorf,DE,380000,50Hertz Transmission,,Associated to substation Röhrsdorf
PST Röhrsdorf 441,12.815082479900903,50.85868947954853,DE,50HERTZ,23117075.0,Polygon,Umspannwerk Röhrsdorf,DE,380000,50Hertz Transmission,,Associated to substation Röhrsdorf
PST Röhrsdorf 442,12.815082479900903,50.85868947954853,DE,50HERTZ,23117075.0,Polygon,Umspannwerk Röhrsdorf,DE,380000,50Hertz Transmission,,Associated to substation Röhrsdorf
TR Thyrow 220/400 401,13.30634069585986,52.23082066092722,DE,50HERTZ,29331499.0,Polygon,Umspannwerk Thyrow,DE,220000,50Hertz Transmission,,Associated to substation Thyrow
PST Vierraden 441,14.268638974985045,53.09783446837573,DE,50HERTZ,170123812.0,Polygon,Umspannwerk Vierraden,DE,380000,50Hertz Transmission,,Associated to substation Vierraden
PST Vierraden 443,14.268638974985045,53.09783446837573,DE,50HERTZ,170123812.0,Polygon,Umspannwerk Vierraden,DE,380000,50Hertz Transmission,,Associated to substation Vierraden
TR Vierraden 220/400 402,14.268638974985045,53.09783446837573,DE,50HERTZ,170123812.0,Polygon,Umspannwerk Vierraden,DE,380000,50Hertz Transmission,,Associated to substation Vierraden
TR Vierraden 220/400 404,14.268638974985045,53.09783446837573,DE,50HERTZ,170123812.0,Polygon,Umspannwerk Vierraden,DE,380000,50Hertz Transmission,,Associated to substation Vierraden
TR Vieselbach 220/400 402,11.123246229477049,50.99837544912323,DE,50HERTZ,143882655.0,Polygon,Umspannwerk Vieselbach,DE,380000,50Hertz Transmission,"50 Hertz GmbH, Regionalzentrum Süd-West",Associated to substation Vieselbach
TR Vieselbach 220/400 403,11.123246229477049,50.99837544912323,DE,50HERTZ,143882655.0,Polygon,Umspannwerk Vieselbach,DE,380000,50Hertz Transmission,"50 Hertz GmbH, Regionalzentrum Süd-West",Associated to substation Vieselbach
TR Wolmirstedt 220/400 403,11.639147591424328,52.26896991806889,DE,50HERTZ,26472665.0,Polygon,Umspannwerk Wolmirstedt,DE,380000,50Hertz Transmission,,Associated to substation Wolmirstedt
TR Wolmirstedt 220/400 404,11.639147591424328,52.26896991806889,DE,50HERTZ,26472665.0,Polygon,Umspannwerk Wolmirstedt,DE,380000,50Hertz Transmission,,Associated to substation Wolmirstedt
TR Wustermark 220/400 401,12.942934968142938,52.56249764066212,DE,50HERTZ,27149550.0,Polygon,Umspannwerk Wustermark,DE,380000,50Hertz Transmission,,Associated to substation Wustermark
TR Wustermark 220/400 402,12.942934968142938,52.56249764066212,DE,50HERTZ,27149550.0,Polygon,Umspannwerk Wustermark,DE,380000,50Hertz Transmission,,Associated to substation Wustermark
TR Brauweiler,6.804550264468823,50.96624767849503,DE,Amprion GmbH,23084554.0,Polygon,Umspannanlage Brauweiler,DE,380000;220000;110000,RWE,,Associated to substation Brauweiler
TR Buerstadt,8.419373160819045,49.63371907557318,DE,Amprion GmbH,149987048.0,Polygon,Station Bürstadt,DE,380000;220000,Amprion,,Associated to substation Buerstadt
TR Buescherhof,6.926758989258959,51.499205696677926,DE,Amprion GmbH,24921206.0,Polygon,Station Büscherhof,DE,380000;220000,RWE,,Associated to substation Buescherhof
TR Dauersberg,7.86378483513833,50.76810526070069,DE,Amprion GmbH,152403632.0,Polygon,Station Dauersberg,DE,380000;220000;110000,RWE,,Associated to substation Dauersberg
TR Eiberg,7.1257288028617465,51.44906599034116,DE,Amprion GmbH,113546939.0,Polygon,Station Eiberg,DE,380000;220000;110000,Amprion,,Associated to substation Eiberg
TR Ensdorf,6.773207879811451,49.29107421435737,DE,Amprion GmbH,82773910.0,Polygon,Umspannanlage Ensdorf,DE,380000;220000;110000,,,Associated to substation Ensdorf
TR Gersteinwerk,7.709038739054832,51.67646671921392,DE,Amprion GmbH,42507488.0,Polygon,Station Gersteinwerk,DE,220000,Amprion,,Associated to substation Gersteinwerk
PST Gronau,7.034948633916197,52.20299653514873,DE,Amprion GmbH,952346321.0,Polygon,Station Gronau,DE,220000,,,Associated to substation Gronau
TR Hanekenfaehr,7.308241793856247,52.47679095339899,DE,Amprion GmbH,61918154.0,Polygon,Hanekenfähr,DE,380000;220000;110000,Amprion,,Associated to substation Hanekenfaehr
TR Hattingen,7.167956726297322,51.38931989154416,DE,Amprion GmbH,63114179.0,Polygon,Station Hattingen,DE,380000;220000;110000,Amprion,,Associated to substation Hattingen
TR Hoheneck,9.190792677545456,48.914415086962464,DE,Amprion GmbH,25802269.0,Polygon,Amprion Umspannwerk Hoheneck,DE,380000;220000;110000,Amprion,,Associated to substation Hoheneck
TR Kusenhorst,7.060221722122223,51.69639747736863,DE,Amprion GmbH,29077623.0,Polygon,Umspannwerk Kusenhorst,DE,380000;220000;110000,Amprion;Westnetz,,Associated to substation Kusenhorst
TR Niederrhein,6.680796263733606,51.64632880193464,DE,Amprion GmbH,24462426.0,Polygon,Station Niederrhein,DE,380000;220000;110000,RWE,,Associated to substation Niederrhein
TR Niederstedem,6.475062982714621,49.92260878546526,DE,Amprion GmbH,151967290.0,Polygon,Station Niederstedem,DE,380000;220000;110000,Amprion; Westnetz,,Associated to substation Niederstedem
TR Opladen,6.965533742474572,51.069936019280185,DE,Amprion GmbH,22761839.0,Polygon,Station Opladen,DE,380000;220000;110000,RWE,,Associated to substation Opladen
TR St. Peter,6.801901926183832,51.124931543129016,DE,Amprion GmbH,49577401.0,Polygon,Station Sankt Peter 220 kV,DE,220000;110000,RWE,,Associated to substation St Peter
TR Rommerskirchen,6.702194784514007,51.008859862237074,DE,Amprion GmbH,24839976.0,Polygon,Umspannwerk Rommerskirchen,DE,380000;220000,Amprion,,Associated to substation Rommerskirchen
TR Sechtem,6.972576332889148,50.7956266225729,DE,Amprion GmbH,22766160.0,Polygon,Station Sechtem,DE,380000;220000;110000,RWE,,Associated to substation Sechtem
TR Tiengen,8.258827663264354,47.634208886686295,DE,Amprion GmbH,31367940.0,Polygon,Umspannwerk Tiengen,DE,380000;220000;110000,Amprion,,Associated to substation Tiengen
TR Uchtelfangen,6.9964592026998345,49.37540332206032,DE,Amprion GmbH,54359256.0,Polygon,Umspannwerk Uchtelfangen,DE,380000;220000;110000,Amprion,,Associated to substation Uchtelfangen
TR Urberach,8.772275034667391,49.97457434094864,DE,Amprion GmbH,23284340.0,Polygon,Umspannwerk Urberach,DE,380000;220000;110000,Amprion,,Associated to substation Urberach
TR Utfort,6.6171994130110185,51.47583728111108,DE,Amprion GmbH,23380800.0,Polygon,Station Utfort,DE,380000;220000;110000,Amprion,,Associated to substation Utfort
TR Voehringen,10.082130359178691,48.26603782164332,DE,Amprion GmbH,85523877.0,Polygon,Vöhringen Amprion,DE,380000,Amprion,,Associated to substation Voehringen
TR Walsum,6.71519747219922,51.52680805339456,DE,Amprion GmbH,24478889.0,Polygon,Station Walsum,DE,220000;110000,Amprion,,Associated to substation Walsum
TR Wehrendorf,8.307757038447654,52.34563570305741,DE,Amprion GmbH,33411203.0,Polygon,Wehrendorf,DE,380000;220000;110000,Amprion,,Associated to substation Wehrendorf
TR Westerkappeln,7.890386064217834,52.27794041517119,DE,Amprion GmbH,114319248.0,Polygon,Station Westerkappeln,DE,380000,Amprion,,Associated to substation Westerkappeln
TR Weissenthurm,7.449489147076854,50.40253032636379,DE,Amprion GmbH,395847307.0,Polygon,Station Weißenthurm,DE,380000;220000;110000,Amprion,,Associated to substation Weissenthurm
TR Audorf/S T422,9.725994440003705,54.28781293047057,DE,TENNETGMBH,35176751.0,Polygon,Audorf Süd,DE,380000;110000,TenneT TSO GmbH,,Associated to substation Audorf/S
TR Audorf/S T421,9.725994440003705,54.28781293047057,DE,TENNETGMBH,35176751.0,Polygon,Audorf Süd,DE,380000;110000,TenneT TSO GmbH,,Associated to substation Audorf/S
TR Bechterdissen T424,8.659610012459176,52.00034857382529,DE,Amprion GmbH,24264701.0,Polygon,Bechterdissen,DE,220000;110000,TenneT TSO GmbH,,Associated to substation Bechterdissen
TR Bechterdissen T423,8.659610012459176,52.00034857382529,DE,Amprion GmbH,24264701.0,Polygon,Bechterdissen,DE,220000;110000,TenneT TSO GmbH,,Associated to substation Bechterdissen
TR Bergrheinfeld VK5,10.150933820209042,49.98205429302692,DE,TENNETGMBH,499165542.0,Polygon,Umspannwerk Bergrheinfeld/West,DE,380000,Tennet,,Associated to substation Bergrheinfeld/W
TR Brunsbuettel T421,9.20168360386404,53.89581463975601,DE,TENNETGMBH,30622610.0,Polygon,Umspannwerk Kernkraftwerk Brunsbüttel,DE,380000;220000;110000,50Hertz Transmission,,Associated to substation Brunsbuettel
TR Buettel T441,9.2349352665197,53.91684530373683,DE,TENNETGMBH,136034396.0,Polygon,Umspannwerk Büttel,DE,380000;320000;250000,,,Associated to substation Buettel
TR Buettel T442,9.2349352665197,53.91684530373683,DE,TENNETGMBH,136034396.0,Polygon,Umspannwerk Büttel,DE,380000;320000;250000,,,Associated to substation Buettel
TR Conneforde/O T422,8.053944669219414,53.331754625072335,DE,TENNETGMBH,1128250704.0,Polygon,Conneforde/Ost,DE,380000,TenneT,,Associated to substation Conneforde/O
TR Conneforde/O T421,8.053944669219414,53.331754625072335,DE,TENNETGMBH,1128250704.0,Polygon,Conneforde/Ost,DE,380000,TenneT,,Associated to substation Conneforde/O
TR Conneforde/O T423,8.053944669219414,53.331754625072335,DE,TENNETGMBH,1128250704.0,Polygon,Conneforde/Ost,DE,380000,TenneT,,Associated to substation Conneforde/O
PST Diele T441,7.311363464926869,53.1257663066567,DE,TENNETGMBH,177829920.0,Polygon,Diele,DE,380000;150000;110000,TenneT;Avacon Netz GmbH,,Associated to substation Diele
PST Diele T442,7.311363464926869,53.1257663066567,DE,TENNETGMBH,177829920.0,Polygon,Diele,DE,380000;150000;110000,TenneT;Avacon Netz GmbH,,Associated to substation Diele
TR Diele T1,7.311363464926869,53.1257663066567,DE,TENNETGMBH,177829920.0,Polygon,Diele,DE,380000;150000;110000,TenneT;Avacon Netz GmbH,,Associated to substation Diele
TR Doerpen/W T441,7.256613692332295,52.98098768069109,DE,TENNETGMBH,142487746.0,Polygon,Dörpen West,DE,380000;320000,TenneT Offshore GmbH,,Associated to substation Doerpen/W
TR Doerpen/W T442,7.256613692332295,52.98098768069109,DE,TENNETGMBH,142487746.0,Polygon,Dörpen West,DE,380000;320000,TenneT Offshore GmbH,,Associated to substation Doerpen/W
TR Doerpen/W T425,7.256613692332295,52.98098768069109,DE,TENNETGMBH,142487746.0,Polygon,Dörpen West,DE,380000;320000,TenneT Offshore GmbH,,Associated to substation Doerpen/W
TR Doerpen/W T426,7.256613692332295,52.98098768069109,DE,TENNETGMBH,142487746.0,Polygon,Dörpen West,DE,380000;320000,TenneT Offshore GmbH,,Associated to substation Doerpen/W
TR Doerpen/W T443,7.256613692332295,52.98098768069109,DE,TENNETGMBH,142487746.0,Polygon,Dörpen West,DE,380000;320000,TenneT Offshore GmbH,,Associated to substation Doerpen/W
TR Doerpen/W T444,7.256613692332295,52.98098768069109,DE,TENNETGMBH,142487746.0,Polygon,Dörpen West,DE,380000;320000,TenneT Offshore GmbH,,Associated to substation Doerpen/W
TR Dollern T422,9.501790032393483,53.54281468092611,DE,TENNETGMBH,24502420.0,Polygon,Dollern,DE,380000;220000;110000,TenneT;Avacon Netz GmbH,,Associated to substation Dollern
TR Dollern T421,9.501790032393483,53.54281468092611,DE,TENNETGMBH,24502420.0,Polygon,Dollern,DE,380000;220000;110000,TenneT;Avacon Netz GmbH,,Associated to substation Dollern
TR Emden/O T428,7.244747402876565,53.357115737869314,DE,TENNETGMBH,559702819.0,Polygon,Konverter Station Emden Ost,DE,380000,TenneT TSO GmbH,,Associated to substation Emden/O
TR Emden/O T425,7.244747402876565,53.357115737869314,DE,TENNETGMBH,559702819.0,Polygon,Konverter Station Emden Ost,DE,380000,TenneT TSO GmbH,,Associated to substation Emden/O
TR Etzenricht T421,12.114380926785518,49.6311058498399,DE,TENNETGMBH,29084374.0,Polygon,Umspannwerk Etzenricht,DE,380000,TenneT TSO,,Associated to substation Etzenricht
TR Grosskrotzenburg T422,8.958708591309529,50.08260779176962,DE,TENNETGMBH,42410916.0,Polygon,Großkrotzenburg,DE,380000;220000,TenneT TSO GmbH,,Associated to substation Grosskrotzenburg
TR Grosskrotzenburg T423,8.958708591309529,50.08260779176962,DE,TENNETGMBH,42410916.0,Polygon,Großkrotzenburg,DE,380000;220000,TenneT TSO GmbH,,Associated to substation Grosskrotzenburg
TR Grosskrotzenburg T421,8.958708591309529,50.08260779176962,DE,TENNETGMBH,42410916.0,Polygon,Großkrotzenburg,DE,380000;220000,TenneT TSO GmbH,,Associated to substation Grosskrotzenburg
TR Irsching VK6,11.58137197036536,48.764893853875456,DE,TENNETGMBH,137602559.0,Polygon,Umspannwerk Irsching,DE,380000;220000;110000,,,Associated to substation Irsching
TR Landesbergen T422,9.125265746125375,52.53826407510022,DE,TENNETGMBH,27739871.0,Polygon,Landesbergen,DE,380000;220000,TenneT TSO GmbH,,Associated to substation Landesbergen
TR Landesbergen T423,9.125265746125375,52.53826407510022,DE,TENNETGMBH,27739871.0,Polygon,Landesbergen,DE,380000;220000,TenneT TSO GmbH,,Associated to substation Landesbergen
TR Oberbachern T421,11.370408790512055,48.291489873770296,DE,Amprion GmbH,18629425.0,Polygon,Umspannwerk Oberbachern,DE,380000;220000;110000,TenneT TSO GmbH;E.ON Netz GmbH,,Associated to substation Oberbachern
TR Ottenhofen VK6,11.868156362309213,48.20680293980998,DE,TENNETGMBH,26245195.0,Polygon,Umspannwerk Ottenhofen,DE,380000;220000,TenneT TSO GmbH,,Associated to substation Ottenhofen
TR Ottenhofen VK7,11.868156362309213,48.20680293980998,DE,TENNETGMBH,26245195.0,Polygon,Umspannwerk Ottenhofen,DE,380000;220000,TenneT TSO GmbH,,Associated to substation Ottenhofen
TR Pleinting VK6,13.103168324093216,48.66682263363445,DE,TENNETGMBH,24976300.0,Polygon,Umspannwerk Pleinting,DE,380000;220000;110000,"TenneT TSO GmbH, E.ON Netz GmbH",,Associated to substation Pleinting
TR Pleinting VK7,13.103168324093216,48.66682263363445,DE,TENNETGMBH,24976300.0,Polygon,Umspannwerk Pleinting,DE,380000;220000;110000,"TenneT TSO GmbH, E.ON Netz GmbH",,Associated to substation Pleinting
TR Raitersaich VK6,10.84310559580793,49.37870895490465,DE,TENNETGMBH,24705761.0,Polygon,Umspannwerk Raitersaich,DE,380000;220000;110000,TenneT TSO GmbH;E.ON Netz GmbH,,Associated to substation Raitersaich
TR Schwandorf VK5,12.082217467816522,49.29749516466073,DE,TENNETGMBH,28956649.0,Polygon,Schwandorf,DE,380000;220000;110000,"TenneT TSO GmbH, E.ON Netz GmbH",,Associated to substation Schwandorf
TR Siems T421,10.76083532726635,53.90974536547812,DE,TENNETGMBH,1102237380.0,Polygon,Umspannwerk Siems,DE,380000;220000,TenneT TSO GmbH,,Associated to substation Siems
TR Sottrum T421,9.25043491144298,53.1149993151395,DE,TENNETGMBH,955268863.0,Polygon,Umspannwerk Sottrum,DE,220000,TenneT TSO GmbH,,Associated to substation Sottrum
TR Unterweser T421,8.4747070839544,53.42865120708027,DE,TENNETGMBH,32076853.0,Polygon,Unterweser,DE,380000;220000;110000,Avacon Netz GmbH,,Associated to substation Unterweser
TR Wahle T421,10.365338662586126,52.28466156568135,DE,TENNETGMBH,24262656.0,Polygon,Wahle 380 kV,DE,380000,TenneT TSO GmbH,,Associated to substation Wahle
TR Wahle T422,10.365338662586126,52.28466156568135,DE,TENNETGMBH,24262656.0,Polygon,Wahle 380 kV,DE,380000,TenneT TSO GmbH,,Associated to substation Wahle
TR Wuergassen T421,9.387640755119822,51.64073490727586,DE,TENNETGMBH,274630377.0,Polygon,Würgassen,DE,380000;220000;110000,Tennet TSO,Umspannwertk Würgassen,Associated to substation Wuergassen
TR Wuergassen T422,9.387640755119822,51.64073490727586,DE,TENNETGMBH,274630377.0,Polygon,Würgassen,DE,380000;220000;110000,Tennet TSO,Umspannwertk Würgassen,Associated to substation Wuergassen
TR/ 380-220kV / Buers / Trafo 31,9.81074666568887,47.14278088986921,DE,TRANSNETBW,101997887.0,Polygon,Umspannwerk Bürs,AT,380000;220000,Vorarlberger Illwerke AG,,Associated to substation Buers
TR / 380-220kV / Buers / Trafo 32,9.81074666568887,47.14278088986921,DE,TRANSNETBW,101997887.0,Polygon,Umspannwerk Bürs,AT,380000;220000,Vorarlberger Illwerke AG,,Associated to substation Buers
TR / 380-220kV / Buers / Trafo 33,9.81074666568887,47.14278088986921,DE,TRANSNETBW,101997887.0,Polygon,Umspannwerk Bürs,AT,380000;220000,Vorarlberger Illwerke AG,,Associated to substation Buers
TR / 380-220kV / Buers / Trafo 34,9.81074666568887,47.14278088986921,DE,TRANSNETBW,101997887.0,Polygon,Umspannwerk Bürs,AT,380000;220000,Vorarlberger Illwerke AG,,Associated to substation Buers
TR / 380-220kV / Daxlanden / Trafo 401,8.31334022540613,49.009043472661205,DE,Amprion GmbH,152261133.0,Polygon,Karlsruhe-Daxlanden,DE,380000;220000;110000,EnBW,,Associated to substation Daxlanden
TR / 380-220kV / Daxlanden / Trafo 402,8.31334022540613,49.009043472661205,DE,Amprion GmbH,152261133.0,Polygon,Karlsruhe-Daxlanden,DE,380000;220000;110000,EnBW,,Associated to substation Daxlanden
TR / 380-220kV / Eichstetten / Trafo 401,7.751862552442818,48.09640574883001,DE,TRANSNETBW,87653464.0,Polygon,220-kV-Umspannwerk Eichstetten,DE,220000;110000,EnBW,,Associated to substation Eichstetten
TR / 380-220kV / Kuehmoos Trafo 401,7.958075914315617,47.59547794524703,DE,Amprion GmbH,88916034.0,Polygon,Lastverteilung/Schaltanlage Kühmoos,DE,380000;220000,Schluchseewerk AG,,Associated to substation Kuehmoos
TR / 380-220kV / Neurott / Trafo 401,8.623206227427875,49.35658185285741,DE,TRANSNETBW,207248812.0,Polygon,Neurott,DE,380000;220000,Transnet BW GmbH,,Associated to substation Neurott
TR / 380-220kV / Neurott / Trafo 402,8.623206227427875,49.35658185285741,DE,TRANSNETBW,207248812.0,Polygon,Neurott,DE,380000;220000,Transnet BW GmbH,,Associated to substation Neurott
PST / 380-220kV / Buers / Trafo 37,9.81074666568887,47.14278088986921,DE,TRANSNETBW,101997887.0,Polygon,Umspannwerk Bürs,AT,380000;220000,Vorarlberger Illwerke AG,,Associated to substation Buers
TR / 380-220kV / Pulverdingen / Trafo 323,9.04543545075586,48.90296099705397,DE,Amprion GmbH,43688805.0,Polygon,Umspannwerk Pulverdingen,DE,380000;220000;110000,Transnet BW GmbH,,Associated to substation Pulverdingen
TR / 380-220kV / Wendlingen / Trafo 324,9.400581833297988,48.66696738744388,DE,TRANSNETBW,26260052.0,Polygon,Umspannwerk Wendlingen,DE,380000;220000;110000,TransnetBW GmbH,,Associated to substation Wendlingen
TR 400/225kV 762 ALBERTVILLE,6.418252587318362,45.66191433169308,FR,RTE,56998024.0,Polygon,Poste électrique d'Albertville,FR,400000;225000;63000,RTE,,Associated to substation ALBERTVILLE
TR 400/225kV 763 ALBERTVILLE,6.418252587318362,45.66191433169308,FR,RTE,56998024.0,Polygon,Poste électrique d'Albertville,FR,400000;225000;63000,RTE,,Associated to substation ALBERTVILLE
TR 400/225kV 761 ARGIA (BAYONNE SUD),-1.4301433844912876,43.42139845078238,FR,RTE,111558550.0,Polygon,Poste électrique de Argia,FR,400000;225000;63000,RTE,,Associated to substation ARGIA (BAYONNE SUD)
TR 400/225kV 761 ARGOEUVES,2.250021749287392,49.93963607395799,FR,RTE,36805588.0,Polygon,Poste électrique d’Argœuves,FR,400000;225000;90000,RTE,,Associated to substation ARGOEUVES
TR 400/225kV 763 ARGOEUVES,2.250021749287392,49.93963607395799,FR,RTE,36805588.0,Polygon,Poste électrique d’Argœuves,FR,400000;225000;90000,RTE,,Associated to substation ARGOEUVES
TR 400/225kV 761 ATTAQUES (LES),1.913830101628324,50.921110276768616,FR,RTE,85198005.0,Polygon,Poste électrique des Attaques,FR,400000;225000;90000,RTE,,Associated to substation ATTAQUES (LES)
TR 400/225kV 762 ATTAQUES (LES),1.913830101628324,50.921110276768616,FR,RTE,85198005.0,Polygon,Poste électrique des Attaques,FR,400000;225000;90000,RTE,,Associated to substation ATTAQUES (LES)
TR 400/225kV 761 AVELIN,3.082279533140677,50.52484805919222,FR,RTE,85605950.0,Polygon,Poste électrique d’Avelin,FR,400000;225000,RTE,,Associated to substation AVELIN
TR 400/225kV 762 AVELIN,3.082279533140677,50.52484805919222,FR,RTE,85605950.0,Polygon,Poste électrique d’Avelin,FR,400000;225000,RTE,,Associated to substation AVELIN
TR 400/225kV 763 AVELIN,3.082279533140677,50.52484805919222,FR,RTE,85605950.0,Polygon,Poste électrique d’Avelin,FR,400000;225000,RTE,,Associated to substation AVELIN
TR 400/225kV 761 AVOINE (POSTE 400 KV),0.1634846272013889,47.22425638733642,FR,RTE,117446401.0,Polygon,Poste électrique d'Avoine,FR,400000,RTE,,Associated to substation AVOINE (POSTE 400 KV)
TR 400/225kV 761 BROC-CARROS (LE),7.191599545888107,43.80309836528222,FR,RTE,90842395.0,Polygon,Poste électrique de Le Broc-Carros,FR,400000;225000,RTE,,Associated to substation BROC-CARROS (LE)
TR 400/225kV 762 BROC-CARROS (LE),7.191599545888107,43.80309836528222,FR,RTE,90842395.0,Polygon,Poste électrique de Le Broc-Carros,FR,400000;225000,RTE,,Associated to substation BROC-CARROS (LE)
TR 400/225kV 761 BEAUMONT-MONTEUX,4.9279697619892,45.01921084476488,FR,RTE,84603564.0,Polygon,Poste électrique de Beaumont Monteux,FR,400000;225000;63000,RTE,,Associated to substation BEAUMONT-MONTEUX
TR 400/225kV 762 BEAUMONT-MONTEUX,4.9279697619892,45.01921084476488,FR,RTE,84603564.0,Polygon,Poste électrique de Beaumont Monteux,FR,400000;225000;63000,RTE,,Associated to substation BEAUMONT-MONTEUX
TR 400/225kV 761 BAIXAS,2.8042473138498654,42.73229026891503,FR,RTE,82837097.0,Polygon,Poste électrique de Baixas,FR,400000;225000;63000,RTE,,Associated to substation BAIXAS
TR 400/225kV 762 BAIXAS,2.8042473138498654,42.73229026891503,FR,RTE,82837097.0,Polygon,Poste électrique de Baixas,FR,400000;225000;63000,RTE,,Associated to substation BAIXAS
TR 400/225kV 763 BAIXAS,2.8042473138498654,42.73229026891503,FR,RTE,82837097.0,Polygon,Poste électrique de Baixas,FR,400000;225000;63000,RTE,,Associated to substation BAIXAS
TR 400/225kV 761 BAYET,3.2951427185568893,46.27305908210421,FR,RTE,71933086.0,Polygon,Poste électrique de Bayet,FR,400000;225000;63000,RTE,,Associated to substation BAYET
TR 400/225kV 762 BAYET,3.2951427185568893,46.27305908210421,FR,RTE,71933086.0,Polygon,Poste électrique de Bayet,FR,400000;225000;63000,RTE,,Associated to substation BAYET
TR 400/225kV 763 BAYET,3.2951427185568893,46.27305908210421,FR,RTE,71933086.0,Polygon,Poste électrique de Bayet,FR,400000;225000;63000,RTE,,Associated to substation BAYET
TR 400/225kV 761 BEZAUMONT,6.097581672005587,48.857283878401695,FR,RTE,81665271.0,Polygon,Poste électrique de Bezaumont,FR,400000;225000,RTE,,Associated to substation BEZAUMONT
TR 400/225kV 762 BEZAUMONT,6.097581672005587,48.857283878401695,FR,RTE,81665271.0,Polygon,Poste électrique de Bezaumont,FR,400000;225000,RTE,,Associated to substation BEZAUMONT
TR 400/225kV 761 BIANCON,6.835855694028623,43.595072658284906,FR,RTE,121500497.0,Polygon,Poste électrique du Biançon,FR,400000;225000,RTE,,Associated to substation BIANCON
TR 400/225kV 762 BIANCON,6.835855694028623,43.595072658284906,FR,RTE,121500497.0,Polygon,Poste électrique du Biançon,FR,400000;225000,RTE,,Associated to substation BIANCON
TR 400/225kV 761 BOISSE (LA),5.023123495057105,45.838444542938426,FR,RTE,24025291.0,Polygon,Poste électrique de La Boisse,FR,400000;225000;63000,RTE,,Associated to substation BOISSE (LA)
TR 400/225kV 762 BOISSE (LA),5.023123495057105,45.838444542938426,FR,RTE,24025291.0,Polygon,Poste électrique de La Boisse,FR,400000;225000;63000,RTE,,Associated to substation BOISSE (LA)
TR 400/225kV 761 BOUTRE,5.83230924946302,43.69090243594689,FR,RTE,100087916.0,Polygon,Poste électrique de Boutre,FR,400000;225000,RTE,,Associated to substation BOUTRE
TR 400/225kV 762 BOUTRE,5.83230924946302,43.69090243594689,FR,RTE,100087916.0,Polygon,Poste électrique de Boutre,FR,400000;225000,RTE,,Associated to substation BOUTRE
TR 400/225kV 761 BRAUD,-0.6820200896708515,45.257764854453455,FR,RTE,105515586.0,Polygon,Poste électrique de Braud,FR,400000;225000,RTE,,Associated to substation BRAUD
TR 400/225kV 762 BREUIL (LE),2.214151787803937,45.24627070286667,FR,RTE,82306874.0,Polygon,Poste électrique de Le Breuil,FR,400000;225000,RTE,,Associated to substation BREUIL (LE)
TR 400/225kV 761 CALAN,-3.302988870976443,47.88070051817289,FR,RTE,210389707.0,Polygon,Poste électrique de Calan,FR,400000;225000,RTE,,Associated to substation CALAN
TR 400/225kV 761 CANTEGRIT,-0.8874731635478703,44.01307996889373,FR,RTE,111458307.0,Polygon,Poste électrique de Cantegrit,FR,400000;225000;63000,RTE,,Associated to substation CANTEGRIT
TR 400/225kV 762 CANTEGRIT,-0.8874731635478703,44.01307996889373,FR,RTE,111458307.0,Polygon,Poste électrique de Cantegrit,FR,400000;225000;63000,RTE,,Associated to substation CANTEGRIT
TR 400/225kV 761 CAPELLE (LA),3.935112182325293,49.97365746445144,FR,RTE,117975440.0,Polygon,Poste électrique de La Capelle,FR,400000;225000;63000,RTE,,Associated to substation CAPELLE (LA)
TR 400/225kV 761 CAZARIL,0.5134819011821691,43.17131924861949,FR,RTE,110443404.0,Polygon,Poste électrique de Cazaril,FR,400000;225000,RTE,,Associated to substation CAZARIL
TR 400/225kV 762 CAZARIL,0.5134819011821691,43.17131924861949,FR,RTE,110443404.0,Polygon,Poste électrique de Cazaril,FR,400000;225000,RTE,,Associated to substation CAZARIL
